四通煤矿生产调度日报表,四通煤矿生产调度日报表-工作面名称,四通煤矿生产调度日报表-月计划,四通煤矿生产调度日报表-日计划,四通煤矿生产调度日报表-日完成,四通煤矿生产调度日报表-月累计完成,四通煤矿生产调度日报表-填报日期：2011年10月9日-生产情况分析
产                                                                                                                                                                                                                              量   （吨）,10403采面,12000,400,128,1786,1、当日10403采面采煤128，其它巷道整理干杂活，卧底，修巷，清理卫生；
产                                                                                                                                                                                                                              量   （吨）,10302备采面,0,0,0,0,1、当日10403采面采煤128，其它巷道整理干杂活，卧底，修巷，清理卫生；
产                                                                                                                                                                                                                              量   （吨）,掘进煤,0,0,0,0,2、当日生产无事故；
产                                                                                                                                                                                                                              量   （吨）,合   计,12000,400,128,1786,2、当日生产无事故；
开拓巷                                                                                                                                                                                 道进尺（米）,主斜井扩刷延伸,45,1.5,0,0,3、采面因煤层变薄，没有按计划完成产量；
开拓巷                                                                                                                                                                                 道进尺（米）,总回延伸巷,45,1.5,0,6.4,
开拓巷                                                                                                                                                                                 道进尺（米）,1、小    计,90,3,0,6.4,
回采巷           道进尺（米）,10402上巷,80,2.6,0,1.2,
回采巷           道进尺（米）,2、小    计,80,2.6,0,1.2,
掘进总进尺,掘进总进尺,170,5.6,0,7.6,
销     售,销     售,0,0,0,0,
销售影响原因,销售影响原因,无,无,无,无,无
停产1小时内影响生产原因,停产1小时内影响生产原因,运输影响1小时,运输影响1小时,运输影响1小时,运输影响1小时,运输影响1小时
停产超过4小时原因说明,停产超过4小时原因说明,无,无,无,无,无
单位负责人：                       值班矿长：                        调度室主任:                        制表人：胡贺,     单位负责人：                       值班矿长：                        调度室主任:                        制表人：胡贺,     单位负责人：                       值班矿长：                        调度室主任:                        制表人：胡贺,     单位负责人：                       值班矿长：                        调度室主任:                        制表人：胡贺,     单位负责人：                       值班矿长：                        调度室主任:                        制表人：胡贺,     单位负责人：                       值班矿长：                        调度室主任:                        制表人：胡贺,     单位负责人：                       值班矿长：                        调度室主任:                        制表人：胡贺
