序号,年,月,日,柴米油盐,请客花费,交通费/油曲,手机费,网络费,燃气费,电费,物业费,水费,保险费,税费,停车费,房贷,车贷,小孩学费,其他,合计
1,2020,10,1,12.0,200,300,199,300,100,100,150,50,510,50,,,,,,572.0
2,2020,10,2,15.0,201,301,200,301,101,101,151,51,511,51,,,,555.0,,621.0
3,2020,10,3,16.0,202,302,201,302,102,102,152,52,512,52,20.0,,,,200.0,488.0
4,2020,10,4,20.0,203,303,202,303,103,103,153,53,513,53,,,,62.0,,335.0
5,2020,10,5,15.0,204,304,203,304,104,104,154,54,514,54,20.0,,,63.0,,851.0
6,2020,10,6,16.0,205,305,204,305,105,105,155,55,515,55,,2500.0,,64.0,,2935.0
7,2020,10,7,25.0,206,306,205,306,106,106,156,56,516,56,,,,65.0,,146.0
8,2020,10,8,16.0,207,307,206,307,107,107,157,57,517,57,,,,66.0,,139.0
9,2020,10,9,20.0,208,308,207,308,108,108,158,58,518,58,,,,67.0,,145.0
10,2020,10,10,20.61,209,309,208,309,109,109,159,59,519,59,20.0,,,68.0,201.0,569.607
11,2020,10,11,21.21,210,310,209,310,110,110,160,60,520,60,,,,69.0,,352.214
12,2020,10,12,21.82,211,311,210,311,111,111,161,61,521,61,20.0,,,70.0,,875.821
13,2020,10,13,22.43,212,312,211,312,112,112,162,62,522,62,,2501.0,,71.0,,2957.43
14,2020,10,14,23.04,213,313,212,313,113,113,163,63,523,63,,,,72.0,,158.036
15,2020,10,15,23.64,214,314,213,314,114,114,164,64,524,64,,,,73.0,,160.643
16,2020,10,16,24.25,215,315,214,315,115,115,165,65,525,65,,,,74.0,,163.25
17,2020,10,17,24.86,216,316,215,316,116,116,166,66,526,66,20.0,,,75.0,202.0,589.857
18,2020,10,18,25.46,217,317,216,317,117,117,167,67,527,67,,,,76.0,,372.464
19,2020,10,19,26.07,218,318,217,318,118,118,168,68,528,68,20.0,,,77.0,,898.071
20,2020,10,20,26.68,219,319,218,319,119,119,169,69,529,69,,2502.0,,78.0,,2977.68
21,2020,10,21,27.29,220,320,219,320,120,120,170,70,530,70,,,,79.0,,176.286
22,2020,10,22,27.89,221,321,220,321,121,121,171,71,531,71,,,,80.0,,178.893
23,2020,10,23,28.5,222,322,221,322,122,122,172,72,532,72,,,,81.0,,181.5
24,2020,10,24,29.11,223,323,222,323,123,123,173,73,533,73,20.0,,,82.0,203.0,610.107
25,2020,10,25,29.71,224,324,223,324,124,124,174,74,534,74,,,,83.0,,392.714
26,2020,10,26,30.32,225,325,224,325,125,125,175,75,535,75,20.0,,,84.0,,920.321
27,2020,10,27,30.93,226,326,225,326,126,126,176,76,536,76,,2503.0,,85.0,,2997.93
28,2020,10,28,31.54,227,327,226,327,127,127,177,77,537,77,,,,86.0,,194.536
29,2020,10,29,32.14,228,328,227,328,128,128,178,78,538,78,,,,87.0,,197.143
30,2020,10,30,32.75,229,329,228,329,129,129,179,79,539,79,,,,88.0,,199.75
31,2020,10,31,33.36,230,330,229,330,130,130,180,80,540,80,20.0,,,89.0,204.0,630.357
32,2020,10,32,33.96,231,331,230,331,131,131,181,81,541,81,,,,90.0,,412.964
