项目进度表-项目进度表,项目进度表-项目进度表-序号,项目进度表-项目进度表-序号.1,项目进度表-项目进度表-项目号,项目进度表-项目进度表-项目号.1,项目进度表-项目进度表-项目号.2,项目进度表-项目进度表-项目号.3,项目进度表-项目进度表-项目总进度,项目进度表-项目进度表-项目总进度.1,项目进度表-项目进度表-项目总进度.2,项目进度表-项目进度表.1,项目进度表-项目进度表-序号.2,项目进度表-项目进度表-序号.3,项目进度表-项目进度表-项目号.4,项目进度表-项目进度表-项目号.5,项目进度表-项目进度表-项目号.6,项目进度表-项目进度表-项目号.7,项目进度表-项目进度表-项目内容,项目内容,项目内容.1,项目内容.2,项目内容.3,负责人,负责人.1,负责人.2,开始日期,开始日期.1,开始日期.2,全部工期,全部工期.1,全部工期.2,已完工期,已完工期.1,已完工期.2,完成进度,完成进度.1,完成进度.2,完成进度.3,完成进度.4,完成进度.5
,1,1,项目1,项目1,项目1,项目1,73.33%,73.33%,73.33%,,1,1,项目1,项目1,项目1,项目1,项目内容......,项目内容......,项目内容......,项目内容......,项目内容......,老王,老王,老王,7月1日,7月1日,7月1日,12,12,12,12,12,12,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,2,2,项目2,项目2,项目2,项目2,54.17%,54.17%,54.17%,,2,2,项目1,项目1,项目1,项目1,项目内容......,项目内容......,项目内容......,项目内容......,项目内容......,老王,老王,老王,7月1日,7月1日,7月1日,15,15,15,13,13,13,86.67%,86.67%,86.67%,86.67%,86.67%,86.67%
,3,3,项目3,项目3,项目3,项目3,37.50%,37.50%,37.50%,,3,3,项目1,项目1,项目1,项目1,项目内容......,项目内容......,项目内容......,项目内容......,项目内容......,老王,老王,老王,7月3日,7月3日,7月3日,16,16,16,12,12,12,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
,4,4,项目4,项目4,项目4,项目4,27.27%,27.27%,27.27%,,4,4,项目1,项目1,项目1,项目1,项目内容......,项目内容......,项目内容......,项目内容......,项目内容......,老王,老王,老王,7月8日,7月8日,7月8日,17,17,17,7,7,7,41.18%,41.18%,41.18%,41.18%,41.18%,41.18%
,5,5,项目5,项目5,项目5,项目5,41.03%,41.03%,41.03%,,5,5,项目2,项目2,项目2,项目2,项目内容......,项目内容......,项目内容......,项目内容......,项目内容......,老张,老张,老张,7月2日,7月2日,7月2日,5,5,5,1,1,1,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%
,6,6,项目6,项目6,项目6,项目6,20.00%,20.00%,20.00%,,6,6,项目2,项目2,项目2,项目2,项目内容......,项目内容......,项目内容......,项目内容......,项目内容......,老张,老张,老张,7月5日,7月5日,7月5日,10,10,10,6,6,6,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%
,7,7,项目7,项目7,项目7,项目7,16.67%,16.67%,16.67%,,7,7,项目2,项目2,项目2,项目2,项目内容......,项目内容......,项目内容......,项目内容......,项目内容......,老铁,老铁,老铁,7月9日,7月9日,7月9日,9,9,9,6,6,6,66.67%,66.67%,66.67%,66.67%,66.67%,66.67%
,8,8,项目8,项目8,项目8,项目8,71.43%,71.43%,71.43%,,8,8,项目6,项目6,项目6,项目6,项目内容......,项目内容......,项目内容......,项目内容......,项目内容......,老铁,老铁,老铁,7月11日,7月11日,7月11日,5,5,5,1,1,1,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%
,9,9,项目9,项目9,项目9,项目9,37.50%,37.50%,37.50%,,9,9,项目3,项目3,项目3,项目3,项目内容......,项目内容......,项目内容......,项目内容......,项目内容......,老林,老林,老林,7月5日,7月5日,7月5日,8,8,8,3,3,3,37.50%,37.50%,37.50%,37.50%,37.50%,37.50%
,10,10,,,,,,,,,10,10,项目3,项目3,项目3,项目3,项目内容......,项目内容......,项目内容......,项目内容......,项目内容......,老林,老林,老林,7月8日,7月8日,7月8日,7,7,7,2,2,2,28.57%,28.57%,28.57%,28.57%,28.57%,28.57%
,11,11,,,,,,,,,11,11,项目3,项目3,项目3,项目3,项目内容......,项目内容......,项目内容......,项目内容......,项目内容......,老杨,老杨,老杨,7月9日,7月9日,7月9日,9,9,9,4,4,4,44.44%,44.44%,44.44%,44.44%,44.44%,44.44%
,12,12,,,,,,,,,12,12,项目8,项目8,项目8,项目8,项目内容......,项目内容......,项目内容......,项目内容......,项目内容......,老杨,老杨,老杨,7月25日,7月25日,7月25日,7,7,7,5,5,5,71.43%,71.43%,71.43%,71.43%,71.43%,71.43%
,13,13,,,,,,,,,13,13,项目7,项目7,项目7,项目7,项目内容......,项目内容......,项目内容......,项目内容......,项目内容......,老周,老周,老周,7月3日,7月3日,7月3日,12,12,12,2,2,2,16.67%,16.67%,16.67%,16.67%,16.67%,16.67%
,14,14,,,,,,,,,14,14,项目4,项目4,项目4,项目4,项目内容......,项目内容......,项目内容......,项目内容......,项目内容......,老周,老周,老周,7月8日,7月8日,7月8日,11,11,11,3,3,3,27.27%,27.27%,27.27%,27.27%,27.27%,27.27%
,15,15,,,,,,,,,15,15,项目5,项目5,项目5,项目5,项目内容......,项目内容......,项目内容......,项目内容......,项目内容......,老刘,老刘,老刘,7月15日,7月15日,7月15日,19,19,19,11,11,11,57.89%,57.89%,57.89%,57.89%,57.89%,57.89%
,16,16,,,,,,,,,16,16,项目5,项目5,项目5,项目5,项目内容......,项目内容......,项目内容......,项目内容......,项目内容......,老刘,老刘,老刘,7月21日,7月21日,7月21日,20,20,20,5,5,5,25.00%,25.00%,25.00%,25.00%,25.00%,25.00%
,17,17,,,,,,,,,17,17,项目9,项目9,项目9,项目9,项目内容......,项目内容......,项目内容......,项目内容......,项目内容......,老刘,老刘,老刘,7月25日,7月25日,7月25日,16,16,16,6,6,6,37.50%,37.50%,37.50%,37.50%,37.50%,37.50%
